Country Name,Code,gdp_capita
Finland,FIN,48744.9881267787
Fiji,FJI,5057.63191261761
France,FRA,39030.3603713482
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3565.293294268
Gabon,GAB,6881.71519231831
United Kingdom,GBR,41059.1688090547
Georgia,GEO,4266.69079450924
Ghana,GHA,2205.5290158584
Gibraltar,GIB,92843
Guinea,GIN,1194.03786469445
Gambia,GMB,773.002070135524
Guinea-Bissau,GNB,727.520171719562
Equatorial Guinea,GNQ,7143.23870497146
Greece,GRC,17622.5410033504
Grenada,GRD,9261.55187617696
Greenland,GRL,54470.96
Guatemala,GTM,4603.33961670975
Guam,GUM,34624.3401290414
Guyana,GUY,6955.93921717789
High income,HIC,44003.4137096987
"Hong Kong SAR, China",HKG,46323.8634424384
Honduras,HND,2389.012430771
Heavily indebted poor countries (HIPC),HPC,968.690499805906
Croatia,HRV,14134.1626811193
Haiti,HTI,1272.36799204205
Hungary,HUN,15980.740889649
IBRD only,IBD,6149.36154443197
IDA & IBRD total,IBT,4891.09025537607
IDA total,IDA,1310.6751603022
IDA blend,IDB,1674.91787065885
Indonesia,IDN,3869.58842704537
IDA only,IDX,1126.93246729588
Isle of Man,IMN,
India,IND,1927.70782309335
Not classified,INX,
Ireland,IRL,85267.7647437582
Iran,IRN,2422.48065682777
Iraq,IRQ,4145.86293637602
Iceland,ISL,59270.1800510483
Israel,ISR,44168.9436355026
Italy,ITA,31714.2209467105
Jamaica,JAM,4664.53024222133
Jordan,JOR,4282.76582461621
Japan,JPN,40193.2524448357
Kazakhstan,KAZ,9122.23343021644
Kenya,KEN,1878.58070251348
Kyrgyzstan,KGZ,1173.61130419926
Cambodia,KHM,1543.66925757282
Kiribati,KIR,1653.54029724315
St. Kitts and Nevis,KNA,18437.7489235363
South Korea,KOR,31631.4694509866
Kuwait,KWT,24811.7697100231
Latin America & Caribbean (excluding high income),LAC,6779.19971726486
Laos,LAO,2629.71458287115
Lebanon,LBN,4649.54764607837
Liberia,LBR,632.93638561735
Libya,LBY,3699.29476514318
St. Lucia,LCA,8804.5610483134
Latin America & Caribbean,LCN,7244.65941923722
Least developed countries: UN classification,LDC,1053.75257101729
Low income,LIC,691.168332768345
Liechtenstein,LIE,
Sri Lanka,LKA,3680.67347661745
Lower middle income,LMC,2217.21488405319
Low & middle income,LMY,4754.82410045119
Lesotho,LSO,875.353432963926
Late-demographic dividend,LTE,9683.42515880587
Lithuania,LTU,20233.6413480843
Luxembourg,LUX,116014.602496869
Latvia,LVA,17726.2529351368
"Macao SAR, China",MAC,39403.1359073362
St. Martin (French part),MAF,
Morocco,MAR,3058.69168866957
Monaco,MCO,173688.189360292
Moldova,MDA,4547.05972064671
Madagascar,MDG,471.491496300252
Maldives,MDV,6924.10574465625
Middle East & North Africa,MEA,6534.39562313779
Mexico,MEX,8329.27131263927
Marshall Islands,MHL,4129.850998412
Middle income,MIC,5216.9478914951
North Macedonia,MKD,5917.26257545221
Mali,MLI,862.453018770252
Malta,MLT,27884.6428274251
Myanmar,MMR,1467.60428115143
Middle East & North Africa (excluding high income),MNA,3018.43365465049
Montenegro,MNE,7677.15222569996
Mongolia,MNG,4060.95051770038
Northern Mariana Islands,MNP,
Mozambique,MOZ,448.544280704982
Mauritania,MRT,1701.99116304908
Mauritius,MUS,8627.84315711981
Malawi,MWI,636.820536833847
Malaysia,MYS,10412.3489834381
North America,NAC,61502.0959453876
Namibia,NAM,4179.27806560875
New Caledonia,NCL,
Niger,NER,567.669892261611
Nigeria,NGA,2097.09247289022
Nicaragua,NIC,1905.26115155921
Netherlands,NLD,52397.1167129558
Norway,NOR,67329.6777910967
Nepal,NPL,1155.14285440358
Nauru,NRU,10580.2681883905
New Zealand,NZL,41441.4666667011
OECD members,OED,38218.8723741986
Oman,OMN,14485.3861157973
Other small states,OSS,11766.9737392939
Pakistan,PAK,1188.85975692162
Panama,PAN,12509.8352901414
Peru,PER,6126.87453978867
Philippines,PHL,3298.82958569657
Palau,PLW,14243.8646915764
Papua New Guinea,PNG,2757.21752973696
Poland,POL,15720.994663556
Pre-demographic dividend,PRE,1332.04921124593
Puerto Rico,PRI,32290.9211360931
North Korea,PRK,1300
Portugal,PRT,22176.2967116929
Paraguay,PRY,5001.07276045191
West Bank and Gaza,PSE,3239.73110812657
Pacific island small states,PSS,3768.54335734646
Post-demographic dividend,PST,44475.1891667213
French Polynesia,PYF,
Qatar,QAT,50124.3859361728
Romania,ROU,12896.0886211622
Russia,RUS,10126.7217935297
Rwanda,RWA,797.855520671748
South Asia,SAS,1823.71291162955
Saudi Arabia,SAU,20110.3161924912
Sudan,SDN,486.418816281925
Senegal,SEN,1471.83096170711
Singapore,SGP,59797.7521801188
Solomon Islands,SLB,2250.6011638607
Sierra Leone,SLE,509.376593987322
El Salvador,SLV,3798.63652082321
San Marino,SMR,
Somaliland,SOM,438.255165584899
Serbia,SRB,7720.51057195234
Sub-Saharan Africa (excluding high income),SSA,1500.34999742719
S. Sudan,SSD,397
W. Sahara,SSF,1501.15292114676
Small states,SST,10770.58977779
Sao Tome and Principe,STP,2157.84044569668
Suriname,SUR,4916.60566637918
Slovakia,SVK,19266.5135736247
Slovenia,SVN,25517.33066526
Sweden,SWE,52274.4087868798
Eswatini,SWZ,3424.2822122311
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,10764.4204224611
Syria,SYR,2032.62
Turks and Caicos Islands,TCA,23879.9266491038
Chad,TCD,659.270044977801
East Asia & Pacific (IDA & IBRD countries),TEA,8346.03881045794
Europe & Central Asia (IDA & IBRD countries),TEC,8387.39069310257
Togo,TGO,914.950792453212
Thailand,THA,7186.87409206525
Tajikistan,TJK,859.137961121368
Turkmenistan,TKM,7612.04
Latin America & the Caribbean (IDA & IBRD countries),TLA,7035.75307488449
Timor-Leste,TLS,1442.73073825015
Middle East & North Africa (IDA & IBRD countries),TMN,3015.70355079971
Tonga,TON,4624.82344882844
South Asia (IDA & IBRD),TSA,1823.71291162955
Sub-Saharan Africa (IDA & IBRD countries),TSS,1501.15292114676
Trinidad and Tobago,TTO,15425.6351094785
Tunisia,TUN,3521.59194808639
Turkey,TUR,8536.43331960632
Tuvalu,TUV,4143.10975263011
Tanzania,TZA,1076.46970642052
Uganda,UGA,822.027681531666
Ukraine,UKR,3724.93843689756
Upper middle income,UMC,9177.84043725712
Uruguay,URY,15438.4116657291
United States of America,USA,63593.4436209541
Uzbekistan,UZB,1750.69711321291
St. Vincent and the Grenadines,VCT,7278.01629673695
Venezuela,VEN,1541
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2785.72416087603
Vanuatu,VUT,2870.08930028914
World,WLD,10918.7228343968
Samoa,WSM,4067.84345873762
Kosovo,XKX,4346.63793069721
Yemen,YEM,691
South Africa,ZAF,5655.86765390396
Zambia,ZMB,985.132436038869
Zimbabwe,ZWE,1214.50982023534
eSwatini,,1000
Taiwan,,68730
Somalia,,309.42
Eq. Guinea,,500
